GO:0000001	mitochondrion inheritance
GO:0072658	maintenance of protein location in membrane
GO:0072659	protein localization to plasma membrane
GO:0072660	maintenance of protein location in plasma membrane
GO:0072661	protein targeting to plasma membrane
GO:0072662	protein localization to peroxisome
GO:0072663	establishment of protein localization to peroxisome
GO:0072664	maintenance of protein location in peroxisome
GO:0072665	protein localization to vacuole
GO:0072666	establishment of protein localization to vacuole
GO:0072667	maintenance of protein location in vacuole
GO:0072668	tubulin complex biogenesis
GO:0072670	mitochondrial tRNA threonylcarbamoyladenosine modification
GO:0072671	mitochondria-associated protein catabolic process
GO:0072672	neutrophil extravasation
GO:0072673	lamellipodium morphogenesis
GO:0072674	multinuclear osteoclast differentiation
GO:0072675	osteoclast fusion
GO:0072676	lymphocyte migration
GO:0072677	eosinophil migration
GO:0072678	T cell migration
GO:0072679	thymocyte migration
GO:0072680	extracellular matrix-dependent thymocyte migration
GO:0072681	fibronectin-dependent thymocyte migration
GO:0072682	eosinophil extravasation
GO:0072683	T cell extravasation
GO:0072684	mitochondrial tRNA 3'-trailer cleavage, endonucleolytic
GO:0072685	Mre11 complex assembly
GO:0072688	SHREC complex localization
GO:0072689	MCM complex assembly
GO:0072690	single-celled organism vegetative growth phase
GO:0072691	initiation of premeiotic DNA replication
GO:0072692	chromatin silencing at centromere central core
GO:0072693	protein targeting to prospore membrane
GO:0072694	cell cycle arrest in response to caffeine
GO:0072695	regulation of DNA recombination at telomere
GO:0072696	positive regulation of DNA recombination at telomere
GO:0072697	protein localization to cell cortex
GO:0072698	protein localization to microtubule cytoskeleton
GO:0072699	protein localization to cortical microtubule cytoskeleton
GO:0072700	response to bismuth
GO:0072701	cellular response to bismuth
GO:0072702	response to methyl methanesulfonate
GO:0072703	cellular response to methyl methanesulfonate
GO:0072704	response to mercaptoethanol
GO:0072705	cellular response to mercaptoethanol
GO:0072706	response to sodium dodecyl sulfate
GO:0072707	cellular response to sodium dodecyl sulfate
GO:0072708	response to sorbitol
GO:0072709	cellular response to sorbitol
GO:0072710	response to hydroxyurea
GO:0072711	cellular response to hydroxyurea
GO:0072712	response to thiabendazole
GO:0072713	cellular response to thiabendazole
GO:0072714	response to selenite ion
GO:0072715	cellular response to selenite ion
GO:0072716	response to actinomycin D
GO:0072717	cellular response to actinomycin D
GO:0072718	response to cisplatin
GO:0072719	cellular response to cisplatin
GO:0072720	response to dithiothreitol
GO:0072721	cellular response to dithiothreitol
GO:0072722	response to amitrole
GO:0072723	cellular response to amitrole
GO:0072724	response to 4-nitroquinoline N-oxide
GO:0072725	cellular response to 4-nitroquinoline N-oxide
GO:0072726	response to CCCP
GO:0072727	cellular response to CCCP
GO:0072728	response to Gentian violet
GO:0072729	cellular response to Gentian violet
GO:0072730	response to papulacandin B
GO:0072731	cellular response to papulacandin B
GO:0072732	cellular response to calcium ion starvation
GO:0072733	response to staurosporine
GO:0072734	cellular response to staurosporine
GO:0072735	response to t-BOOH
GO:0072736	cellular response to t-BOOH
GO:0072737	response to diamide
GO:0072738	cellular response to diamide
GO:0072739	response to anisomycin
GO:0072740	cellular response to anisomycin
GO:0072741	protein localization to cell division site
GO:0072742	SAGA complex localization to transcription regulatory region
GO:0072743	cellular response to erythromycin
GO:0072744	cellular response to trichodermin
GO:0072745	cellular response to antimycin A
GO:0072746	cellular response to tetracycline
GO:0072747	cellular response to chloramphenicol
GO:0072748	cellular response to tacrolimus
GO:0072749	cellular response to cytochalasin B
GO:0072750	cellular response to leptomycin B
GO:0072751	cellular response to L-thialysine
GO:0072752	cellular response to rapamycin
GO:0072753	cellular response to glutathione
GO:0072754	cellular response to purvalanol A
GO:0072755	cellular response to benomyl
GO:0072756	cellular response to paraquat
GO:0072757	cellular response to camptothecin
GO:0072758	response to topoisomerase inhibitor
GO:0072759	cellular response to topoisomerase inhibitor
GO:0072760	cellular response to GW 7647
GO:0072761	cellular response to capsazepine
GO:0072762	cellular response to carbendazim
GO:0072763	cellular response to hesperadin
GO:0072764	cellular response to reversine
GO:0072765	kinetochore localization
GO:0072766	centromere clustering at the nuclear periphery
GO:0075000	response to host osmotic environment
GO:0075001	adhesion of symbiont infection structure to host
GO:0075002	adhesion of symbiont germination tube to host
GO:0075003	adhesion of symbiont appressorium to host
GO:0075004	adhesion of symbiont spore to host
GO:0075005	spore germination on or near host
GO:0075006	modulation of spore germination on or near host
GO:0075007	positive regulation of spore germination on or near host
GO:0075008	negative regulation of spore germination on or near host
GO:0075009	germ tube formation on or near host
GO:0075010	modulation of germ tube formation on or near host
GO:0075011	positive regulation of germ tube formation on or near host
GO:0075012	negative regulation of germ tube formation on or near host
GO:0075015	formation of infection structure on or near host
GO:0075016	appressorium formation on or near host
GO:0075017	regulation of appressorium formation on or near host
GO:0075018	positive regulation of appressorium formation on or near host
GO:0075019	negative regulation of appressorium formation on or near host
GO:0075020	calcium or calmodulin-mediated activation of appressorium formation
GO:0075021	cAMP-mediated activation of appressorium formation
GO:0075022	ethylene-mediated activation of appressorium formation
GO:0075023	MAPK-mediated regulation of appressorium formation
GO:0075024	phospholipase C-mediated activation of appressorium formation
GO:0075025	initiation of appressorium on or near host
GO:0075026	regulation of appressorium initiation on or near host
GO:0075027	positive regulation of appressorium initiation on or near host
GO:0075028	negative regulation of appressorium initiation on or near host
GO:0075029	formation of symbiont germ tube hook structure on or near host
GO:0075030	modulation of symbiont germ tube hook structure formation on or near host
GO:0075031	positive regulation of symbiont germ tube hook structure formation on or near host
GO:0075032	negative regulation of symbiont germ tube hook structure formation on or near host
GO:0075033	septum formation involved in appressorium formation on or near host
GO:0075034	nuclear division involved in appressorium formation on or near host
GO:0075035	maturation of appressorium on or near host
GO:0075036	regulation of appressorium maturation on or near host
GO:0075037	positive regulation of appressorium maturation on or near host
GO:0075038	negative regulation of appressorium maturation on or near host
GO:0075039	establishment of turgor in appressorium
GO:0075040	regulation of establishment of turgor in appressorium
GO:0075041	positive regulation of establishment of turgor in appressorium
GO:0075042	negative regulation of establishment of turgor in appressorium
GO:0075043	maintenance of turgor in appressorium by melanization
GO:0075044	autophagy of host cells involved in interaction with symbiont
GO:0075045	regulation of formation by symbiont of haustorium for nutrient acquisition from host
GO:0075046	positive regulation of formation by symbiont of haustorium for nutrient acquisition from host
GO:0075047	negative regulation of formation by symbiont of haustorium for nutrient acquisition from host
GO:0075048	cell wall strengthening in symbiont involved in entry into host
GO:0075049	modulation of symbiont cell wall strengthening involved in entry into host
GO:0075050	positive regulation of symbiont cell wall strengthening involved in entry into host
GO:0075051	negative regulation of symbiont cell wall strengthening involved in entry into host
GO:0075052	entry into host via a specialized structure
GO:0075053	formation of symbiont penetration peg for entry into host
GO:0075054	modulation of symbiont penetration peg formation for entry into host
GO:0075055	positive regulation of symbiont penetration peg formation for entry into host
GO:0075056	negative regulation of symbiont penetration peg formation for entry into host
GO:0075057	initiation of symbiont penetration peg
GO:0075058	modulation of symbiont penetration peg initiation
GO:0075059	positive regulation of symbiont penetration peg initiation
GO:0075060	negative regulation of symbiont penetration peg initiation
GO:0075061	formation of symbiont invasive hypha in host
GO:0075062	regulation of symbiont invasive hypha formation in host
GO:0075063	positive regulation of symbiont invasive hypha formation in host
GO:0075064	negative regulation of symbiont invasive hypha formation in host
GO:0075069	adhesion of symbiont infection cushion to host
GO:0075070	adhesion of symbiont hyphopodium to host
GO:0075071	autophagy involved in symbiotic interaction
GO:0075072	autophagy of symbiont cells involved in interaction with host
GO:0075073	autophagy of symbiont cells on or near host surface
GO:0075074	spore autophagy involved in appressorium formation on or near host
GO:0075075	modulation by host of symbiont adenylate cyclase activity
GO:0075076	positive regulation by host of symbiont adenylate cyclase activity
GO:0075077	negative regulation by host of symbiont adenylate cyclase activity
GO:0075078	modulation by host of symbiont receptor-mediated signal transduction
GO:0075079	positive regulation by host of symbiont receptor-mediated signal transduction
GO:0075080	negative regulation by host of symbiont receptor-mediated signal transduction
GO:0075081	modulation by host of symbiont transmembrane receptor-mediated signal transduction
GO:0075082	positive regulation by host of symbiont transmembrane receptor-mediated signal transduction
GO:0075083	negative regulation by host of symbiont transmembrane receptor-mediated signal transduction
GO:0075084	modulation by host of symbiont transmembrane receptor-mediated cAMP signal transduction
GO:0075085	positive regulation by host of symbiont transmembrane receptor-mediated cAMP signal transduction
GO:0075086	negative regulation by host of symbiont transmembrane receptor-mediated cAMP signal transduction
GO:0075087	modulation by host of symbiont G-protein coupled receptor protein signal transduction
GO:0075088	positive regulation by host of symbiont G-protein coupled receptor protein signal transduction
GO:0075089	negative regulation by host of symbiont G-protein coupled receptor protein signal transduction
GO:0075090	modulation by host of symbiont signal transduction mediated by G-protein alpha subunit
GO:0075091	positive regulation by host of symbiont signal transduction mediated by G-protein alpha subunit
GO:0075092	negative regulation by host of symbiont signal transduction mediated by G-protein alpha subunit
GO:0075093	modulation by host of symbiont signal transduction mediated by G-protein beta subunit
GO:0075094	positive regulation by host of symbiont signal transduction mediated by G-protein beta subunit
GO:0075095	negative regulation by host of symbiont signal transduction mediated by G-protein beta subunit
GO:0075096	modulation by host of symbiont signal transduction mediated by G-protein gamma subunit
GO:0075097	positive regulation by host of symbiont signal transduction mediated by G-protein gamma subunit
GO:0075098	negative regulation by host of symbiont signal transduction mediated by G-protein gamma subunit
GO:0075099	modulation by host of symbiont protein kinase-mediated signal transduction
GO:0075100	positive regulation by host of symbiont protein kinase-mediated signal transduction
GO:0075101	negative regulation by host of symbiont protein kinase-mediated signal transduction
GO:0075102	negative regulation by host of symbiont MAP kinase-mediated signal transduction
GO:0075103	modulation by host of symbiont calcium or calmodulin-mediated signal transduction
GO:0075104	positive regulation by host of symbiont calcium or calmodulin-mediated signal transduction
GO:0075105	negative regulation by host of symbiont calcium or calmodulin-mediated signal transduction
GO:0075106	modulation by symbiont of host adenylate cyclase activity
GO:0075107	positive regulation by symbiont of host adenylate cyclase activity
GO:0075108	negative regulation by symbiont of host adenylate cyclase activity
GO:0075109	modulation by symbiont of host receptor-mediated signal transduction
GO:0075110	positive regulation by symbiont of host receptor-mediated signal transduction
GO:0075111	negative regulation by symbiont of host receptor-mediated signal transduction
GO:0075112	modulation by symbiont of host transmembrane receptor-mediated signal transduction
GO:0075113	positive regulation by symbiont of host transmembrane receptor-mediated signal transduction
GO:0075114	negative regulation by symbiont of host transmembrane receptor-mediated signal transduction
GO:0075115	modulation by symbiont of host transmembrane receptor-mediated cAMP signal transduction
GO:0075116	positive regulation by symbiont of host transmembrane receptor-mediated cAMP signal transduction
GO:0075117	negative regulation by symbiont of host transmembrane receptor-mediated cAMP signal transduction
GO:0075118	modulation by symbiont of host G-protein coupled receptor protein signal transduction
GO:0075119	positive regulation by symbiont of host G-protein coupled receptor protein signal transduction
GO:0075120	negative regulation by symbiont of host G-protein coupled receptor protein signal transduction
GO:0075121	modulation by symbiont of host signal transduction mediated by G-protein alpha subunit
GO:0075122	positive regulation by symbiont of host signal transduction mediated by G-protein alpha subunit
GO:0075123	negative regulation by symbiont of host signal transduction mediated by G-protein alpha subunit
GO:0075124	modulation by symbiont of host signal transduction mediated by G-protein beta subunit
GO:0075125	positive regulation by symbiont of host signal transduction mediated by G-protein beta subunit
GO:0075126	negative regulation by symbiont of host signal transduction mediated by G-protein beta subunit
GO:0075127	modulation by symbiont of host signal transduction mediated by G-protein gamma subunit
GO:0075128	positive regulation by symbiont of host signal transduction mediated by G-protein gamma subunit
GO:0075129	negative regulation by symbiont of host signal transduction mediated by G-protein gamma subunit
GO:0075130	modulation by symbiont of host protein kinase-mediated signal transduction
GO:0075131	positive regulation by symbiont of host protein kinase-mediated signal transduction
GO:0075132	negative regulation by symbiont of host protein kinase-mediated signal transduction
GO:0075133	modulation by symbiont of host calcium or calmodulin-mediated signal transduction
GO:0075134	positive regulation by symbiont of host calcium or calmodulin-mediated signal transduction
GO:0075135	negative regulation by symbiont of host calcium or calmodulin-mediated signal transduction
GO:0075136	response to host
GO:0075137	response to host redox environment
GO:0075138	response to host oxygen tension environment
GO:0075139	response to host iron concentration
GO:0075140	response to host defense molecules
GO:0075141	maintenance of symbiont tolerance to host environment
GO:0075142	maintenance of symbiont tolerance to host oxygen tension environment
GO:0075143	maintenance of symbiont tolerance to host redox environment
GO:0075144	maintenance of symbiont tolerance to host iron concentration
GO:0075145	maintenance of symbiont tolerance to host defense molecules
GO:0075146	maintenance of symbiont tolerance to host osmotic environment
GO:0075147	regulation of signal transduction in response to host
GO:0075148	positive regulation of signal transduction in response to host
GO:0075149	negative regulation of signal transduction in response to host
GO:0075150	regulation of receptor-mediated signal transduction in response to host
GO:0075151	positive regulation of receptor-mediated signal transduction in response to host
GO:0075152	negative regulation of receptor-mediated signal transduction in response to host
GO:0075153	regulation of transmembrane receptor-mediated signal transduction in response to host
GO:0075154	positive regulation of transmembrane receptor-mediated signal transduction in response to host
GO:0075155	negative regulation of transmembrane receptor-mediated signal transduction in response to host
GO:0075156	regulation of G-protein coupled receptor protein signaling pathway in response to host
GO:0075157	positive regulation of G-protein coupled receptor protein signaling pathway in response to host
GO:0075158	negative regulation of G-protein coupled receptor protein signaling pathway in response to host
GO:0075159	regulation of G-protein alpha subunit-mediated signal transduction in response to host
GO:0075160	positive regulation of G-protein alpha subunit-mediated signal transduction in response to host
GO:0075161	negative regulation of G-protein alpha subunit-mediated signal transduction in response to host
GO:0075162	regulation of G-protein beta subunit-mediated signal transduction in response to host
GO:0075163	positive regulation of G-protein beta subunit-mediated signal transduction in response to host
GO:0075164	negative regulation of G-protein beta subunit-mediated signal transduction in response to host
GO:0075165	regulation of G-protein gamma subunit-mediated signal transduction in response to host
GO:0075166	positive regulation of G-protein gamma subunit-mediated signal transduction in response to host
GO:0075167	negative regulation of G-protein gamma subunit-mediated signal transduction in response to host
GO:0075168	regulation of protein kinase-mediated signal transduction in response to host
GO:0075169	positive regulation of symbiont protein kinase-mediated signal transduction in response to host
GO:0075170	negative regulation of protein kinase-mediated signal transduction in response to host
GO:0075171	regulation of MAP kinase-mediated signal transduction in response to host
GO:0075172	positive regulation of MAP kinase-mediated signal transduction in response to host
GO:0075173	negative regulation of MAP kinase-mediated signal transduction in response to host
GO:0075174	regulation of cAMP-mediated signaling in response to host
GO:0075175	positive regulation of cAMP-mediated signaling in response to host
GO:0075176	negative regulation of cAMP-mediated signaling in response to host
GO:0075177	regulation of calcium or calmodulin-mediated signal transduction in response to host
GO:0075178	positive regulation of calcium or calmodulin-mediated signal transduction in response to host
GO:0075179	negative regulation of calcium or calmodulin-mediated signal transduction in response to host
GO:0075180	regulation of transcription in response to host
GO:0075181	positive regulation of symbiont transcription in response to host
GO:0075182	negative regulation of symbiont transcription in response to host
GO:0075183	infection cushion formation on or near host
GO:0075184	regulation of infection cushion formation on or near host
GO:0075185	positive regulation of infection cushion formation on or near host
GO:0075186	negative regulation of infection cushion formation on or near host
GO:0075187	hyphopodium formation on or near host
GO:0075188	regulation of hyphopodium formation on or near host
GO:0075189	positive regulation of hyphopodium formation on or near host
GO:0075190	negative regulation of hyphopodium formation on or near host
GO:0075191	autophagy of host cells on or near symbiont surface
GO:0075192	haustorium mother cell formation on or near host
GO:0075193	regulation of haustorium mother cell formation on or near host
GO:0075194	positive regulation of haustorium mother cell formation on or near host
GO:0075195	negative regulation of haustorium mother cell formation on or near host
GO:0075196	adhesion of symbiont haustorium mother cell to host
GO:0075197	formation of symbiont haustorium neck for entry into host
GO:0075198	modulation of symbiont haustorium neck formation for entry into host
GO:0075199	positive regulation of symbiont haustorium neck formation for entry into host
GO:0075200	negative regulation of symbiont haustorium neck formation for entry into host
GO:0075201	formation of symbiont penetration hypha for entry into host
GO:0075202	modulation of symbiont penetration hypha formation for entry into host
GO:0075203	positive regulation of symbiont penetration hypha formation for entry into host
GO:0075204	negative regulation of symbiont penetration hypha formation for entry into host
GO:0075205	modulation by host of symbiont cAMP-mediated signal transduction
GO:0075206	positive regulation by host of symbiont cAMP-mediated signal transduction
GO:0075207	negative regulation by host of symbiont cAMP-mediated signal transduction
GO:0075208	modulation by symbiont of host cAMP-mediated signal transduction
GO:0075209	positive regulation by symbiont of host cAMP-mediated signal transduction
GO:0075210	negative regulation by symbiont of host cAMP-mediated signal transduction
GO:0075211	regulation of transmembrane receptor-mediated cAMP signaling in response to host
GO:0075212	positive regulation of transmembrane receptor-mediated cAMP signal transduction in response to host
GO:0075213	negative regulation of transmembrane receptor-mediated cAMP signal transduction in response to host
GO:0075214	spore encystment on host
GO:0075215	modulation of spore encystment on host
GO:0075216	positive regulation of spore encystment on host
GO:0075217	negative regulation of spore encystment on host
GO:0075218	zoospore encystment on host
GO:0075219	modulation of zoospore encystment on host
GO:0075220	positive regulation of zoospore encystment on host
GO:0075221	negative regulation of zoospore encystment on host
GO:0075222	sporangium germination on or near host
GO:0075223	modulation of sporangium germination on or near host
GO:0075224	positive regulation of sporangium germination on or near host
GO:0075225	negative regulation of sporangium germination on or near host
GO:0075226	encysted zoospore germination on or near host
GO:0075227	modulation of encysted zoospore germination on or near host
GO:0075228	positive regulation of encysted zoospore germination on or near host
GO:0075229	negative regulation of encysted zoospore germination on or near host
GO:0075230	spore movement on or near host
GO:0075231	modulation of spore movement on or near host
GO:0075232	positive regulation of spore movement on or near host
GO:0075233	negative regulation of spore movement on or near host
GO:0075234	zoospore movement on or near host
GO:0075235	modulation of zoospore movement on or near host
GO:0075236	positive regulation of zoospore movement on or near host
GO:0075237	negative regulation of zoospore movement on or near host
GO:0075238	maintenance of symbiont tolerance to host pH environment
GO:0075239	zoospore formation
GO:0075240	regulation of zoospore formation
GO:0075241	positive regulation of zoospore formation
GO:0075242	negative regulation of zoospore formation
GO:0075243	oospore formation
GO:0075244	regulation of oospore formation
GO:0075245	positive regulation of oospore formation
GO:0075246	negative regulation of oospore formation
GO:0075247	aeciospore formation
GO:0075248	regulation of aeciospore formation
GO:0075249	positive regulation of aeciospore formation
GO:0075250	negative regulation of aeciospore formation
GO:0075251	uredospore formation
GO:0075252	regulation of uredospore formation
GO:0075253	positive regulation of uredospore formation
GO:0075254	negative regulation of uredospore formation
GO:0075255	teliospore formation
GO:0075256	regulation of teliospore formation
GO:0075257	positive regulation of teliospore formation
GO:0075258	negative regulation of teliospore formation
GO:0075259	spore-bearing organ development
GO:0075260	regulation of spore-bearing organ development
GO:0075261	positive regulation of spore-bearing organ development
GO:0075262	negative regulation of spore-bearing organ development
GO:0075263	oogonium development
GO:0075264	regulation of oogonium development
GO:0075265	positive regulation of oogonium development
GO:0075266	negative regulation of oogonium development
GO:0075267	aecium development
GO:0075268	regulation of aecium development
GO:0075269	positive regulation of aecium development
GO:0075270	negative regulation of aecium development
GO:0075271	zygosporangium development
GO:0075272	regulation of zygosporangium development
GO:0075273	positive regulation of zygosporangium development
GO:0075274	negative regulation of zygosporangium development
GO:0075275	telium development
GO:0075276	regulation of telium development
GO:0075277	positive regulation of telium development
GO:0075278	negative regulation of telium development
GO:0075279	uredinium development
GO:0075280	regulation of uredinium development
GO:0075281	positive regulation of uredinium development
GO:0075282	negative regulation of uredinium development
GO:0075283	sporulation resulting in formation of a multicellular or syncytial spore
GO:0075284	asexual sporulation resulting in formation of a multicellular or syncytial spore
GO:0075285	sexual sporulation resulting in formation of a multicellular or syncytial spore
GO:0075286	regulation of sporangiospore formation
GO:0075287	positive regulation of sporangiospore formation
GO:0075288	negative regulation of sporangiospore formation
GO:0075289	aplanospore formation
GO:0075290	regulation of aplanospore formation
GO:0075291	positive regulation of aplanospore formation
GO:0075292	negative regulation of aplanospore formation
GO:0075293	response to host pH environment
GO:0075294	positive regulation by symbiont of entry into host
GO:0075295	positive regulation by organism of entry into other organism involved in symbiotic interaction
GO:0075296	positive regulation of ascospore formation
GO:0075297	negative regulation of ascospore formation
GO:0075298	regulation of zygospore formation
GO:0075299	positive regulation of zygospore formation
GO:0075300	negative regulation of zygospore formation
GO:0075301	cell differentiation involved in spore germination
GO:0075302	regulation of basidiospore formation
GO:0075303	positive regulation of basidiospore formation
GO:0075304	negative regulation of basidiospore formation
GO:0075306	regulation of conidium formation
GO:0075307	positive regulation of conidium formation
GO:0075308	negative regulation of conidium formation
GO:0075310	regulation of sporangium development
GO:0075311	positive regulation of sporangium development
GO:0075312	negative regulation of sporangium development
GO:0075313	basidium development
GO:0075314	regulation of basidium development
GO:0075315	positive regulation of basidium development
GO:0075316	negative regulation of basidium development
GO:0075317	ascus development
GO:0075318	regulation of ascus development
GO:0075319	positive regulation of ascus development
GO:0075320	negative regulation of ascus development
GO:0075321	oomycete sporangium development
GO:0075322	regulation of oomycete sporangium development
GO:0075323	positive regulation of oomycete sporangium development
GO:0075324	negative regulation of oomycete sporangium development
GO:0075325	spore dispersal on or near host
GO:0075326	active spore dispersal on or near host
GO:0075327	passive spore dispersal on or near host
GO:0075328	formation by symbiont of arbuscule for nutrient acquisition from host
GO:0075329	regulation of arbuscule formation for nutrient acquisition from host
GO:0075330	positive regulation of arbuscule formation for nutrient acquisition from host
GO:0075331	negative regulation of arbuscule formation for nutrient acquisition from host
GO:0075332	modulation by host of symbiont adenylate cyclase-mediated signal transduction
GO:0075333	positive regulation by host of symbiont adenylate cyclase-mediated signal transduction
GO:0075334	modulation of symbiont adenylate cyclase-mediated signal transduction in response to host
GO:0075335	positive regulation of symbiont adenylate cyclase-mediated signal transduction in response to host
GO:0075336	negative regulation of symbiont adenylate cyclase-mediated signal transduction in response to host
GO:0075342	disruption by symbiont of host cell PML body
GO:0075343	modulation by symbiont of abscisic acid levels in host
GO:0075344	modulation by symbiont of host protein levels
GO:0075345	modification by symbiont of host protein
GO:0075346	modification by symbiont of host protein by ubiquitination
GO:0075501	viral entry into host cell via caveolae-mediated endocytosis followed by membrane fusion with the endosome membrane
GO:0075502	viral entry into host cell via caveolae-mediated endocytosis followed by endosome membrane permeabilization
GO:0075503	viral entry into host cell via macropinocytosis followed by membrane fusion with the host macropinosome membrane
GO:0075504	viral entry into host cell via macropinocytosis followed by macropinosomal membrane permeabilization
GO:0075505	entry of intact viral capsid into host nucleus via the nuclear pore complex
GO:0075506	entry of viral genome into host nucleus via cellular importin transport through the nuclear pore complex
GO:0075507	entry of viral genome into host nucleus via docking of viral capsid to the nuclear pore complex and injection of viral genome
GO:0075508	entry of viral genome into host nucleus via attachment of capsid to nuclear pore complex and release of genome into nucleoplasm
GO:0075509	viral entry into host cell via endocytosis
GO:0075510	viral entry into host cell via macropinocytosis
GO:0075511	viral entry into host cell via macropinocytosis followed by macropinosome lysis
GO:0075512	viral entry into host cell via clathrin-mediated endocytosis
GO:0075513	viral entry into host cell via caveolae-mediated endocytosis
GO:0075514	viral entry into host cell via caveolae-mediated endocytosis followed by endosome lysis
GO:0075515	viral entry into host cell via caveolae-mediated endocytosis followed by genetic injection through the endosome membrane
GO:0075516	viral entry into host cell via clathrin-mediated endocytosis followed by endosome lysis
GO:0075517	viral entry into host cell via clathrin-mediated endocytosis followed by membrane fusion with the endosome membrane
GO:0075518	viral entry into host cell via clathrin-mediated endocytosis followed by endosome membrane permeabilization
GO:0075519	microtubule-dependent intracellular transport of viral material
GO:0075520	actin-dependent intracellular transport of viral material
GO:0075521	microtubule-dependent intracellular transport of viral material to nucleus
GO:0075529	establishment of latency as a circular episome
GO:0075530	establishment of latency as a linear episome
GO:0075606	transport of viral material to nucleus
GO:0075705	viral entry into host cell via clathrin-mediated endocytosis followed by genetic injection through the endosome membrane
GO:0075713	establishment of integrated proviral latency
GO:0075720	establishment of episomal latency
GO:0075732	viral penetration into host nucleus
GO:0075733	intracellular transport of viral material
GO:0080001	mucilage extrusion from seed coat
GO:0080003	thalianol metabolic process
GO:0080005	photosystem stoichiometry adjustment
GO:0080006	internode patterning
GO:0080009	mRNA methylation
GO:0080020	regulation of coenzyme A biosynthetic process
GO:0080021	response to benzoic acid stimulus
GO:0080022	primary root development
GO:0080024	indolebutyric acid metabolic process
GO:0080026	response to indolebutyric acid stimulus
GO:0080027	response to herbivore
GO:0080028	nitrile biosynthetic process
GO:0080029	cellular response to boron-containing substance levels
GO:0080033	response to nitrite
GO:0080034	host response to induction by symbiont of tumor, nodule or growth in host
GO:0080035	2-hydroxy-but-3-enyl glucosinolate biosynthetic process
GO:0080036	regulation of cytokinin mediated signaling pathway
GO:0080037	negative regulation of cytokinin mediated signaling pathway
GO:0080038	positive regulation of cytokinin mediated signaling pathway
GO:0080040	positive regulation of cellular response to phosphate starvation
GO:0080050	regulation of seed development
GO:0080051	cutin transport
GO:0080052	response to histidine
GO:0080053	response to phenylalanine
GO:0080055	low affinity nitrate transport
GO:0080056	petal vascular tissue pattern formation
GO:0080057	sepal vascular tissue pattern formation
GO:0080058	protein deglutathionylation
GO:0080060	integument development
GO:0080086	stamen filament development
GO:0080088	spermidine hydroxycinnamate conjugate biosynthetic process
GO:0080090	regulation of primary metabolic process
GO:0080091	regulation of raffinose metabolic process
GO:0080092	regulation of pollen tube growth
GO:0080093	regulation of photorespiration
GO:0080094	response to trehalose-6-phosphate stimulus
GO:0080110	sporopollenin biosynthetic process
GO:0080111	DNA demethylation
GO:0080112	seed growth
GO:0080113	regulation of seed growth
GO:0080114	positive regulation of glycine hydroxymethyltransferase activity
GO:0080117	secondary growth
GO:0080119	ER body organization
GO:0080120	CAAX-box protein maturation
GO:0080121	AMP transport
GO:0080125	multicellular structure septum development
GO:0080126	ovary septum development
GO:0080127	fruit septum development
GO:0080128	anther septum development
GO:0080129	proteasome core complex assembly
GO:0080134	regulation of response to stress
GO:0080135	regulation of cellular response to stress
GO:0080136	priming of cellular response to stress
GO:0080140	regulation of jasmonic acid metabolic process
GO:0080141	regulation of jasmonic acid biosynthetic process
GO:0080142	regulation of salicylic acid biosynthetic process
GO:0080143	regulation of amino acid export
GO:0080144	amino acid homeostasis
GO:0080145	cysteine homeostasis
GO:0080147	root hair cell development
GO:0080148	negative regulation of response to water deprivation
GO:0080149	sucrose induced translational repression
GO:0080151	positive regulation of salicylic acid mediated signaling pathway
GO:0080152	regulation of reductive pentose-phosphate cycle
GO:0080153	negative regulation of reductive pentose-phosphate cycle
GO:0080154	regulation of fertilization
GO:0080155	regulation of double fertilization forming a zygote and endosperm
GO:0080156	mitochondrial mRNA modification
GO:0080157	regulation of plant-type cell wall organization or biogenesis
GO:0080158	chloroplast ribulose bisphosphate carboxylase complex biogenesis
GO:0080159	zygote elongation
GO:0080160	selenate transport
GO:0080162	intracellular auxin transport
GO:0080163	regulation of protein serine/threonine phosphatase activity
GO:0080164	regulation of nitric oxide metabolic process
GO:0080165	callose deposition in phloem sieve plate
GO:0080166	stomium development
GO:0080167	response to karrikin
GO:0080168	abscisic acid transport
GO:0080169	cellular response to boron-containing substance deprivation
GO:0080170	hydrogen peroxide transmembrane transport
GO:0080171	lytic vacuole organization
GO:0080172	petal epidermis patterning
GO:0080173	male-female gamete recognition during double fertilization
GO:0080175	phragmoplast microtubule organization
GO:0080177	plastoglobule organization
GO:0080178	5-carbamoylmethyluridine metabolic process
GO:0080179	1-methylguanosine metabolic process
GO:0080180	2-methylguanosine metabolic process
GO:0080181	lateral root branching
GO:0080182	histone H3-K4 trimethylation
GO:0080183	response to photooxidative stress
GO:0080184	response to phenylpropanoid
GO:0080185	effector dependent induction by symbiont of host immune response
GO:0080186	developmental vegetative growth
GO:0080187	floral organ senescence
GO:0080188	RNA-directed DNA methylation
GO:0080189	primary growth
GO:0080190	lateral growth
GO:0080191	secondary thickening
GO:0080192	primary thickening
GO:0080193	diffuse secondary thickening
GO:0085000	modification by symbiont of host morphology or physiology via protein secreted by type V secretion system
GO:0085001	formation by symbiont of stylet for nutrient acquisition from host
GO:0085002	interaction with host mediated by secreted substance released by symbiont from symbiotic structure
GO:0085003	interaction with host via secreted substance released from stylet
GO:0085004	interaction with host via secreted substance released from haustorium
GO:0085005	interaction with host via secreted substance released from invasive hyphae
