ID-model,GO:0005575,GO:0044456,GO:0045202,GO:0031981,GO:0070013,GO:0031974,GO:0043233,GO:0044430,GO:0005929,GO:0031226,GO:0044428,GO:0005887,GO:0009986,GO:0097458,GO:0044463,GO:0015629,GO:0015630,GO:0000228,GO:0005739,GO:0044454,GO:0042995,GO:0044427,GO:0005856,GO:0044459,GO:0005694,GO:0031410,GO:0016023,GO:0000790,GO:0030424,GO:0048471,GO:0005783,GO:0000785,GO:0005912,GO:0043228,GO:0043232,GO:0030141,GO:0005634,GO:0005829,GO:0016021,GO:0043234,GO:0043005,GO:0070161,GO:0032991,GO:0005730,GO:0031224,GO:0044422,GO:0005576,GO:0005794,GO:0044446,GO:0005886,GO:0044425,GO:0030054,GO:0005911,GO:0044421,GO:0005615,GO:0030055,GO:0071944,GO:0043231,GO:0043229,GO:0044444,GO:0044424,GO:0005622,GO:0043226,GO:0005925,GO:0005789,GO:0005924,GO:0042175,GO:0043227,GO:0005768,GO:0031988,GO:0031982,GO:0031967,GO:0005737,GO:0044432,GO:0065010,GO:0043230,GO:0070062,GO:0016020,GO:0005635,GO:0044464,GO:0005623,GO:0031975,GO:0031090,GO:0012505,GO:0005654
88-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.45,0.44,0.55,0.55,0.55,0.55,0.50,0.50,0.49,0.54,0.49,0.51,0.41,0.43,0.50,0.54,0.53,0.52,0.54,0.41,0.51,0.52,0.46,0.51,0.52,0.52,0.50,0.40,0.47,0.50,0.49,0.54,0.54,0.54,0.50,0.57,0.50,0.49,0.50,0.39,0.53,0.50,0.56,0.49,0.52,0.50,0.50,0.52,0.47,0.47,0.56,0.50,0.50,0.50,0.59,0.46,0.55,0.55,0.50,0.55,0.54,0.54,0.54,0.49,0.54,0.49,0.55,0.49,0.50,0.50,0.49,0.52,0.49,0.50,0.50,0.50,0.51,0.49,0.51,0.51,0.43,0.49,0.44,0.50
91-2,NaN,0.50,0.50,0.55,0.55,0.55,0.55,0.50,0.50,0.49,0.54,0.49,0.50,0.50,0.50,0.50,0.54,0.53,0.52,0.54,0.49,0.51,0.52,0.51,0.51,0.52,0.52,0.50,0.50,0.49,0.50,0.49,0.54,0.54,0.54,0.50,0.57,0.48,0.49,0.50,0.50,0.53,0.50,0.56,0.49,0.52,0.50,0.50,0.52,0.50,0.50,0.51,0.50,0.50,0.50,0.54,0.50,0.55,0.55,0.50,0.54,0.54,0.54,0.54,0.49,0.54,0.49,0.55,0.49,0.50,0.50,0.49,0.51,0.49,0.50,0.50,0.50,0.50,0.49,0.51,0.51,0.49,0.49,0.49,0.50
91-3,NaN,0.45,0.44,0.53,0.53,0.53,0.53,0.49,0.48,0.41,0.54,0.41,0.51,0.41,0.43,0.56,0.48,0.56,0.55,0.52,0.41,0.52,0.53,0.45,0.52,0.50,0.50,0.52,0.40,0.50,0.51,0.53,0.55,0.54,0.54,0.48,0.52,0.48,0.43,0.51,0.39,0.54,0.51,0.57,0.43,0.52,0.50,0.49,0.52,0.46,0.47,0.54,0.47,0.50,0.51,0.59,0.46,0.53,0.53,0.50,0.55,0.54,0.53,0.55,0.52,0.55,0.58,0.54,0.49,0.51,0.51,0.48,0.52,0.52,0.50,0.50,0.50,0.51,0.49,0.51,0.51,0.43,0.48,0.45,0.49
93-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.72,0.50,0.75,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.58,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.64,0.52,0.50,0.50,0.51,0.50,0.62,0.49,0.50,0.50,0.50,0.54,0.55,0.50,0.50,0.50,0.50,0.50,0.54,0.50,0.49,0.50,0.50,0.50,0.49,0.50,0.50,0.50,0.50,0.49,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.52,0.50,0.51,0.51,0.53,0.50,0.50,0.50
93-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.72,0.50,0.75,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.58,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.52,0.64,0.52,0.50,0.50,0.51,0.50,0.62,0.49,0.50,0.50,0.49,0.54,0.55,0.50,0.50,0.50,0.50,0.50,0.54,0.50,0.49,0.50,0.50,0.50,0.48,0.50,0.50,0.50,0.50,0.49,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.52,0.50,0.51,0.51,0.53,0.50,0.50,0.50
94-1,NaN,0.86,0.84,0.79,0.77,0.77,0.77,0.82,0.71,0.57,0.76,0.58,0.52,0.72,0.63,0.73,0.78,0.57,0.84,0.58,0.70,0.68,0.77,0.59,0.68,0.65,0.64,0.58,0.59,0.50,0.67,0.67,0.53,0.71,0.71,0.54,0.74,0.53,0.81,0.68,0.61,0.53,0.65,0.73,0.77,0.69,0.59,0.67,0.69,0.69,0.71,0.58,0.59,0.55,0.55,0.54,0.67,0.67,0.66,0.68,0.65,0.64,0.61,0.54,0.65,0.54,0.64,0.59,0.68,0.52,0.53,0.66,0.66,0.62,0.51,0.51,0.51,0.66,0.61,0.56,0.56,0.63,0.63,0.63,0.84
95-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-1,NaN,0.50,0.50,0.44,0.47,0.47,0.48,0.47,0.50,0.40,0.44,0.40,0.52,0.48,0.48,0.43,0.49,0.48,0.47,0.49,0.47,0.50,0.47,0.46,0.50,0.47,0.47,0.48,0.49,0.49,0.48,0.53,0.50,0.47,0.47,0.47,0.50,0.41,0.39,0.44,0.48,0.59,0.42,0.50,0.41,0.44,0.55,0.48,0.45,0.46,0.42,0.53,0.48,0.55,0.53,0.50,0.46,0.50,0.49,0.43,0.44,0.43,0.66,0.50,0.54,0.50,0.56,0.67,0.53,0.52,0.52,0.41,0.43,0.51,0.50,0.50,0.50,0.46,0.48,0.34,0.33,0.40,0.50,0.45,0.44
96-2,NaN,0.53,0.54,0.46,0.48,0.47,0.48,0.37,0.49,0.43,0.45,0.44,0.49,0.49,0.48,0.43,0.44,0.51,0.49,0.52,0.44,0.50,0.42,0.42,0.50,0.43,0.40,0.47,0.49,0.52,0.53,0.46,0.59,0.46,0.46,0.45,0.55,0.43,0.39,0.42,0.48,0.57,0.42,0.53,0.37,0.43,0.53,0.48,0.44,0.42,0.40,0.53,0.48,0.53,0.49,0.59,0.42,0.51,0.49,0.43,0.44,0.44,0.66,0.56,0.62,0.59,0.62,0.67,0.46,0.57,0.57,0.42,0.44,0.57,0.50,0.50,0.50,0.46,0.50,0.34,0.33,0.41,0.49,0.49,0.47
96-3,NaN,0.51,0.52,0.49,0.47,0.46,0.47,0.37,0.49,0.42,0.46,0.44,0.52,0.45,0.45,0.50,0.44,0.52,0.46,0.52,0.44,0.55,0.42,0.40,0.55,0.48,0.46,0.52,0.49,0.52,0.48,0.52,0.50,0.45,0.45,0.50,0.53,0.43,0.43,0.42,0.46,0.56,0.42,0.52,0.41,0.43,0.56,0.49,0.43,0.43,0.39,0.53,0.51,0.56,0.49,0.52,0.42,0.51,0.49,0.44,0.44,0.44,0.66,0.52,0.53,0.52,0.52,0.67,0.48,0.57,0.57,0.46,0.45,0.50,0.50,0.50,0.50,0.47,0.47,0.33,0.33,0.44,0.45,0.40,0.43
97-1,NaN,0.52,0.62,0.59,0.57,0.57,0.57,0.66,0.56,0.53,0.58,0.54,0.52,0.59,0.58,0.57,0.64,0.50,0.76,0.50,0.57,0.69,0.68,0.55,0.69,0.54,0.55,0.50,0.55,0.50,0.71,0.68,0.54,0.66,0.66,0.55,0.74,0.51,0.76,0.62,0.52,0.53,0.60,0.67,0.72,0.64,0.59,0.58,0.65,0.66,0.66,0.53,0.55,0.54,0.56,0.54,0.64,0.68,0.67,0.63,0.66,0.66,0.59,0.54,0.55,0.54,0.55,0.58,0.50,0.52,0.52,0.49,0.62,0.55,0.50,0.50,0.50,0.65,0.50,0.61,0.61,0.49,0.60,0.62,0.53
97-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.60,0.60,0.56,0.55,0.55,0.55,0.72,0.57,0.58,0.53,0.62,0.62,0.65,0.68,0.56,0.63,0.72,0.66,0.72,0.65,0.64,0.62,0.64,0.63,0.61,0.62,0.73,0.70,0.47,0.56,0.63,0.42,0.62,0.62,0.76,0.47,0.52,0.68,0.57,0.77,0.41,0.56,0.56,0.65,0.44,0.50,0.53,0.44,0.60,0.64,0.56,0.78,0.54,0.60,0.46,0.61,0.46,0.46,0.50,0.48,0.48,0.49,0.46,0.52,0.46,0.51,0.48,0.45,0.50,0.50,0.46,0.49,0.53,0.50,0.50,0.65,0.55,0.51,0.51,0.51,0.48,0.49,0.54,0.62
99-1,NaN,0.81,0.85,0.80,0.78,0.77,0.78,0.82,0.77,0.70,0.77,0.69,0.72,0.79,0.76,0.79,0.84,0.74,0.77,0.67,0.78,0.78,0.79,0.75,0.79,0.67,0.66,0.68,0.77,0.78,0.73,0.74,0.57,0.74,0.74,0.55,0.72,0.69,0.62,0.72,0.75,0.56,0.70,0.69,0.64,0.68,0.62,0.71,0.67,0.74,0.67,0.60,0.68,0.60,0.62,0.58,0.72,0.68,0.68,0.67,0.64,0.62,0.61,0.59,0.56,0.59,0.55,0.60,0.74,0.52,0.52,0.52,0.62,0.54,0.52,0.52,0.52,0.62,0.49,0.54,0.54,0.49,0.58,0.57,0.78
